timestamp,state,x,y
1688627680588,1,-262.9511,249.9963,0
1688627680588,1,-262.9511,249.9963,1
1688627680588,1,-262.9511,249.9963,2
1688627680608,1,-264.0196,250.8951,0
1688627680608,1,-264.0196,250.8951,1
1688627680608,1,-264.0196,250.8951,2
1688627680632,1,-266.3763,255.0029,0
1688627680632,1,-266.3763,255.0029,1
1688627680632,1,-266.3763,255.0029,2
1688627680651,1,-271.4368,254.6704,0
1688627680651,1,-271.4368,254.6704,1
1688627680651,1,-271.4368,254.6704,2
1688627680671,1,-309.8394,238.1095,0
1688627680671,1,-309.8394,238.1095,1
1688627680671,1,-309.8394,238.1095,2
1688627680692,1,-301.3507,239.0263,0
1688627680692,1,-301.3507,239.0263,1
1688627680692,1,-301.3507,239.0263,2
1688627680716,1,-303.8387,237.2344,0
1688627680716,1,-303.8387,237.2344,1
1688627680716,1,-303.8387,237.2344,2
1688627680736,1,-299.0894,235.3361,0
1688627680736,1,-299.0894,235.3361,1
1688627680736,1,-299.0894,235.3361,2
1688627680756,1,-299.2962,232.8982,0
1688627680756,1,-299.2962,232.8982,1
1688627680756,1,-299.2962,232.8982,2
1688627680778,1,-299.3813,230.3376,0
1688627680778,1,-299.3813,230.3376,1
1688627680778,1,-299.3813,230.3376,2
1688627680798,1,-299.2334,230.1942,0
1688627680798,1,-299.2334,230.1942,1
1688627680798,1,-299.2334,230.1942,2
1688627680819,1,-305.5151,236.1702,0
1688627680819,1,-305.5151,236.1702,1
1688627680819,1,-305.5151,236.1702,2
1688627680838,1,-292.3298,235.8751,0
1688627680838,1,-292.3298,235.8751,1
1688627680838,1,-292.3298,235.8751,2
1688627680860,1,-294.5138,239.471,0
1688627680860,1,-294.5138,239.471,1
1688627680860,1,-294.5138,239.471,2
1688627680885,1,-301.4514,242.2393,0
1688627680885,1,-301.4514,242.2393,1
1688627680885,1,-301.4514,242.2393,2
1688627680903,1,-311.0179,246.4252,0
1688627680903,1,-311.0179,246.4252,1
1688627680903,1,-311.0179,246.4252,2
1688627680923,1,-304.8837,236.4072,0
1688627680923,1,-304.8837,236.4072,1
1688627680923,1,-304.8837,236.4072,2
1688627680943,1,-304.9145,239.8576,0
1688627680943,1,-304.9145,239.8576,1
1688627680943,1,-304.9145,239.8576,2
1688627680969,1,-298.2026,233.3937,0
1688627680969,1,-298.2026,233.3937,1
1688627680969,1,-298.2026,233.3937,2
1688627680986,1,-293.7357,231.9899,0
1688627680986,1,-293.7357,231.9899,1
1688627680986,1,-293.7357,231.9899,2
1688627681005,1,-274.3286,227.6887,0
1688627681005,1,-274.3286,227.6887,1
1688627681005,1,-274.3286,227.6887,2
1688627681027,1,-224.3702,212.3458,0
1688627681027,1,-224.3702,212.3458,1
1688627681027,1,-224.3702,212.3458,2
1688627681052,1,-232.4069,215.6909,0
1688627681052,1,-232.4069,215.6909,1
1688627681052,1,-232.4069,215.6909,2
1688627681068,1,-237.9399,220.2384,0
1688627681068,1,-237.9399,220.2384,1
1688627681068,1,-237.9399,220.2384,2
1688627681090,1,-279.591,236.2628,0
1688627681090,1,-279.591,236.2628,1
1688627681090,1,-279.591,236.2628,2
1688627681110,1,-285.5415,233.1607,0
1688627681110,1,-285.5415,233.1607,1
1688627681110,1,-285.5415,233.1607,2
