timestamp,level,x,y,z,pitch,yaw,roll
1695264497317,0,-0.04,0.02,-0.02,4.64,350.79,3.80
1695264497346,0,-0.04,0.02,-0.02,4.63,350.81,3.81
1695264497376,0,-0.04,0.02,-0.02,4.63,350.91,3.80
1695264497406,0,-0.04,0.02,-0.02,4.59,351.15,3.79
1695264497435,0,-0.04,0.02,-0.02,4.55,351.32,3.76
1695264497462,0,-0.04,0.02,-0.02,4.54,351.47,3.69
1695264497489,0,-0.04,0.02,-0.02,4.53,351.63,3.62
1695264497517,0,-0.04,0.02,-0.02,4.56,351.76,3.55
1695264497545,0,-0.04,0.02,-0.02,4.59,351.91,3.46
1695264497576,0,-0.04,0.02,-0.02,4.66,352.06,3.35
1695264497606,0,-0.04,0.02,-0.02,4.75,352.21,3.24
